PUZZLE,CATEGORY,DATE USED,WHEN USED
FAMILY TREE TRIMMER,Before & After,9/27/10 (#5276),R3
MUSIC FESTIVAL,Event,9/27/10 (#5276),T3
A MAN OF MANY TALENTS,Person,9/27/10 (#5276),R4
YOU HOLD THE KEY,Phrase,9/27/10 (#5276),BR
EXCERCISE CLASSES,Fun & Games,9/28/10 (#5277),T1
FRESH FRUIT PLATE,Food & Drink,9/28/10 (#5277),T2
TAKING THE INITIATIVE,What Are You Doing?,9/28/10 (#5277),R1
WOULDN'T IT BE NICE BY THE BEACH BOYS,Song/Artist,9/28/10 (#5277),R2*
SCRIMMAGE & CHORUS LINE,Same Name,9/28/10 (#5277),R3
WINNING STREAK,Event,9/28/10 (#5277),T3
A WELL-OILED MACHINE,Thing,9/28/10 (#5277),R4
NO TURNING BACK NOW,Phrase,9/28/10 (#5277),R5
BEAR HUG,Thing,9/28/10 (#5277),BR
LESS STRESS,Rhyme Time,9/29/10 (#5278),T1
NEW BEST FRIEND,Person,9/29/10 (#5278),T2
DELICIOUS DECADENT DESSERTS,Same Letter,9/29/10 (#5278),R1
SCIENCE FICTION THRILLER INCEPTION,Show Biz,9/29/10 (#5278),R2
CASHING IN A HUGE STACK OF CHIPS,Event,9/29/10 (#5278),R3*
ARGYLE SOCKS,Around the House,9/29/10 (#5278),T3
COPENHAGEN DENMARK,On the Map,9/29/10 (#5278),R4
I'M AWAKE,Phrase,9/29/10 (#5278),BR
A CUP OF GREEN TEA,Food & Drink,9/30/10 (#5279),T1
WONDER WOMAN,Fictional Character,9/30/10 (#5279),T2
EUCALYPTUS-SCENTED STEAM ROOM,Place,9/30/10 (#5279),R1
MONKEY BUSINESS AS USUAL,Before & After,9/30/10 (#5279),R2
ALL-DAY SKI LIFT TICKETS,Things,9/30/10 (#5279),R3*
UMBRELLA STAND,Around the House,9/30/10 (#5279),T3
MAKING A NAME FOR MYSELF,What Are You Doing?,9/30/10 (#5279),R4
CASABLANCA MOROCCO,On the Map,9/30/10 (#5279),R5
HAPPY HOUR,Event,9/30/10 (#5279),BR
TAKE A BREAK,Rhyme Time,10/1/10 (#5280),T1
PINK DAISIES,Living Things,10/1/10 (#5280),T2
CINDERELLA & PRINCE CHARMING,Fictional Characters,10/1/10 (#5280),R1
LINT ROLLER COASTER,Before & After,10/1/10 (#5280),R2
THE VIEW FROM THE TOP OF A MOUNTAIN,Thing,10/1/10 (#5280),R3*
WOODEN SALAD BOWLS,In the Kitchen,10/1/10 (#5280),T3
ORIGINAL SCREENPLAY,Show Biz,10/1/10 (#5280),R4
I CAN SEE WHERE THIS IS GOING,Phrase,10/1/10 (#5280),R5
ACT OF HEROISM,Event,10/1/10 (#5280),BR
FULL SPEED AHEAD,Phrase,10/4/10 (#5281),T1
THE PIED PIPER,Fictional Character,10/4/10 (#5281),T2
A WONDERFUL WAY TO START THE DAY,Rhyme Time,10/4/10 (#5281),R1
CUDDLING UP IN A SNOW-COVERED CABIN,What Are You Doing?,10/4/10 (#5281),R2*
JULIA ROBERTS STARS IN EAT PRAY LOVE,Show Biz,10/4/10 (#5281),R3
A WIN-WIN SITUATION,Thing,10/4/10 (#5281),T3
THE WEATHER CHANNEL,TV Title,10/4/10 (#5281),R4
BALTIMORE MARYLAND,On the Map,10/4/10 (#5281),R5
HAWKS AND DOVES,Living Things,10/4/10 (#5281),BR
STAY THE COURSE,Phrase,10/5/10 (#5282),T1
SWEETS & TREATS,Rhyme Time,10/5/10 (#5282),T2
DORA THE EXPLORER,Fictional Character,10/5/10 (#5282),R1
KNOCKOUT PUNCH BOWL,Before & After,10/5/10 (#5282),R2
EVERYBODY'S GONE SURFIN' SURFIN' U.S.A.,Song Lyrics,10/5/10 (#5282),R3*
PROBLEM SOLVER,Person,10/5/10 (#5282),T3
COMBINATION LOCK,Thing,10/5/10 (#5282),R4
PERSONALIZED STATIONERY,Around the House,10/5/10 (#5282),R5
QUICK DECISION,Phrase,10/5/10 (#5282),BR
CARGO DECK,Place,10/6/10 (#5283),T1
SLY AS A FOX,Phrase,10/6/10 (#5283),T2
TRICKY TONGUE TWISTER,Same Letter,10/6/10 (#5283),R1
ST. ELMO'S FIRE EXTINGUISHER,Before & After,10/6/10 (#5283),R2
THE BRIGHT LIGHTS OF BROADWAY,Show Biz,10/6/10 (#5283),R3*
PICKLE JAR,In the Kitchen,10/6/10 (#5283),T3
THE HIGHEST BIDDER,Person,10/6/10 (#5283),R4
BALLROOM DANCING,What Are You Doing?,10/6/10 (#5283),R5
OVERCOAT,Thing,10/6/10 (#5283),BR
CLEAR SAILING,Phrase,10/7/10 (#5284),T1
BEST-LAID PLANS,Things,10/7/10 (#5284),T2
SINBAD: LEGEND OF THE SEVEN SEAS,Title,10/7/10 (#5284),R1
ALL THE WORLD'S A STAGE,Quotation,10/7/10 (#5284),R2*
CHILI DOG WHISPERER,Before & After,10/7/10 (#5284),R3
JUSTICE OF THE PEACE,Person,10/7/10 (#5284),T3
PING-PONG PADDLES,Same Letter,10/7/10 (#5284),R4
BUTCHER SHOP,Place,10/7/10 (#5284),R5
ON A WHIM,Phrase,10/7/10 (#5284),BR
WELCOME ABOARD,Phrase,10/8/10 (#5285),T1
GREAT REPUTATION,Thing,10/8/10 (#5285),T2
RED VELVET CUPCAKES,Food & Drink,10/8/10 (#5285),R1
MAJESTIC SOUTHERN PLANTATIONS,Places,10/8/10 (#5285),R2*
HARBOR SEAL THE DEAL,Before & After,10/8/10 (#5285),R3
ST. PETERSBURG,On the Map,10/8/10 (#5285),T3
MAKING A MENTAL NOTE,What Are You Doing?,10/8/10 (#5285),R4
PUREBRED PUPPIES,Living Things,10/8/10 (#5285),R5
PIZZA JOINT,Place,10/8/10 (#5285),BR
BUCKINGHAM PALACE,Landmark,10/11/10 (#5286),T1
SEAGULLS & PELICANS,Living Things,10/11/10 (#5286),T2
FANCY SEEING YOU HERE,Phrase,10/11/10 (#5286),R1
ORDERING ROOM SERVICE TO MY SUITE,What Are You Doing?,10/11/10 (#5286),R2*
LOBSTER TANK TOP,Before & After,10/11/10 (#5286),R3
MUMBO JUMBO,Rhyme Time,10/11/10 (#5286),T3
RANDOM ACT OF KINDNESS,Thing,10/11/10 (#5286),R4
BACKBONE,Thing,10/11/10 (#5286),BR
DINNER WITH FRIENDS,Event,10/12/10 (#5287),T1
BELGIAN CHOCOLATE,Food & Drink,10/12/10 (#5287),T2
PLAID PAJAMA PANTS,Same Letter,10/12/10 (#5287),R1
SWEET & COUCH POTATO,Same Name,10/12/10 (#5287),R2
DO YOU KNOW THE WAY TO SAN JOSE?,Song Lyrics,10/12/10 (#5287),R3*
PASTA STRAINER,In the Kitchen,10/12/10 (#5287),T3
ECONOMICS PROFESSOR,Occupation,10/12/10 (#5287),R4
WARM AND FUZZY,Phrase,10/12/10 (#5287),BR
RICHIE RICH,Fictional Character,10/13/10 (#5288),T1
IMPECCABLE TASTE,Thing,10/13/10 (#5288),T2
MIND-BLOWING SPECIAL EFFECTS,Show Biz,10/13/10 (#5288),R1
CATCHING THE PERFECT WAVE,Event,10/13/10 (#5288),R2*
RIGHT IN THE NICK OF THINGS,Phrase,10/13/10 (#5288),R3
TRENDSETTERS,People,10/13/10 (#5288),T3
GOING THE DISTANCE,What Are You Doing?,10/13/10 (#5288),R4
GROWN-UP,Person,10/13/10 (#5288),BR
SMILING FACES,Things,10/14/10 (#5289),T1
WORLD LEADERS,People,10/14/10 (#5289),T2
WE'RE ALL ON THE SAME PAGE,Phrase,10/14/10 (#5289),R1
NACHOS SUPREME WITH GRILLED CHICKEN,Food & Drink,10/14/10 (#5289),R2*
CAPTAIN HOOK LINE & SINKER,Before & After,10/14/10 (#5289),R3
ARCHERY TARGET,Fun & Games,10/14/10 (#5289),T3
CALM COOL & COLLECTED,Same Letter,10/14/10 (#5289),R4
MUSIC MIX,Thing,10/14/10 (#5289),BR
I LIKE YOUR STYLE,Phrase,10/15/10 (#5290),T1
LIMOUSINE DRIVER,Occupation,10/15/10 (#5290),T2
MONOGRAMMED BATHROBES,Things,10/15/10 (#5290),R1
SOUVENIR SHOPPING IN AN OPEN-AIR MARKET,What Are You Doing?,10/15/10 (#5290),R2*
THE GOOSE THAT LAID THE GOLDEN EGGS OVER EASY,Before & After,10/15/10 (#5290),R3
SUNDAY MATINEE,Show Biz,10/15/10 (#5290),T3
PHILADELPHIA PENNSYLVANIA,On the Map,10/15/10 (#5290),R4
ANONYMOUS DONOR,Person,10/15/10 (#5290),BR
THE OPEN ROAD,Place,10/18/10 (#5291),T1
LAST COMIC STANDING,TV Title,10/18/10 (#5291),T2
MAKE YOURSELF AT HOME,Phrase,10/18/10 (#5291),R1
THE INVISIBLE MAN OF THE YEAR,Before & After,10/18/10 (#5291),R2
GATHERING AROUND A ROARING FIRE,What Are You Doing?,10/18/10 (#5291),R3*
SOUTH KOREA,On the Map,10/18/10 (#5291),T3
AN OLDIE BUT GOODIE,Rhyme Time,10/18/10 (#5291),R4
TOUGH GUY,Person,10/18/10 (#5291),BR
TEMPTING OFFER,Thing,10/19/10 (#5292),T1
DESIGNER JEANS,Around the House,10/19/10 (#5292),T2
THE WESTERN HEMISPHERE,On the Map,10/19/10 (#5292),R1
DON'T FORGET TO BRING SUNGLASSES,Phrase,10/19/10 (#5292),R2*
INSTANT MESSAGE IN A BOTTLE,Before & After,10/19/10 (#5292),R3
PRAIRIE DOGS,Living Things,10/19/10 (#5292),T3
POSING FOR A PORTRAIT,What Are You Doing?,10/19/10 (#5292),R4
OPTIMISTS AND PESSIMISTS,People,10/19/10 (#5292),R5
VOLUME KNOB,Thing,10/19/10 (#5292),BR
SOUNDS LIKE FUN,Phrase,10/20/10 (#5293),T1
STATUS SYMBOL,Thing,10/20/10 (#5293),T2
WALLA WALLA WASHINGTON,Same Letter,10/20/10 (#5293),R1
ASKING FOR MORE VACATION DAYS,What Are You Doing?,10/20/10 (#5293),R2*
FAMILY HEIRLOOM TOMATOES,Before & After,10/20/10 (#5293),R3
THE CASPIAN SEA,On the Map,10/20/10 (#5293),T3
PRIME MINISTER,Person,10/20/10 (#5293),R4
TELEVISION STUDIO,Show Biz,10/20/10 (#5293),R5
A HUGE FAVOR,Thing,10/20/10 (#5293),BR
THE ROYAL PALACE,Place,10/21/10 (#5294),T1
RIDING SIDESADDLE,Fun & Games,10/21/10 (#5294),T2
COLUMBUS DISCOVERS THE NEW WORLD,Event,10/21/10 (#5294),R1
FIXING FRANKFURTER & FRENCH FRIES,Same Letter,10/21/10 (#5294),R2
YOU'RE JUST WHAT I NEEDED,Phrase,10/21/10 (#5294),R3*
RUNNING BACK,Person,10/21/10 (#5294),T3
ATTRACTING ATTENTION,What Are You Doing?,10/21/10 (#5294),R4
JOKES AND PUNS,Things,10/21/10 (#5294),BR
TRICK-OR-TREATERS,People,10/22/10 (#5295),T1
GREEN BAY PACKERS,Proper Name,10/22/10 (#5295),T2
ONCE UPON A MIDNIGHT DREARY,Quotation,10/22/10 (#5295),R1
WHAT'S ALL THE EXCITEMENT ABOUT?,Phrase,10/22/10 (#5295),R2*
GHOSTS GOBLINS GHOULS & GARGOYLES,Same Letter,10/22/10 (#5295),R3
CASTING A SPELL,What Are You Doing?,10/22/10 (#5295),T3
THE DECIDING FACTOR,Thing,10/22/10 (#5295),R4
SCIENCE LABRATORY,Place,10/22/10 (#5295),R5
GOOF AROUND,Phrase,10/22/10 (#5295),BR
COSTUME PARTY,Event,10/25/10 (#5296),T1
WORTHY OPPONENTS,People,10/25/10 (#5296),T2
SLICE OF DEVIL'S FOOD CAKE,Food & Drink,10/25/10 (#5296),R1
LIVING LIFE TO THE FULLEST,Phrase,10/25/10 (#5296),R2*
SOMEBODY CALL A DOCTOR FRANKENSTEIN,Before & After,10/25/10 (#5296),R3
JEEPERS CREEPERS,Rhyme Time,10/25/10 (#5296),T3
HOWLING WEREWOLVES,Fictional Characters,10/25/10 (#5296),R4
HEAVY FOG,Thing,10/25/10 (#5296),BR
FRIGHT NIGHT,Rhyme Time,10/26/10 (#5297),T1
V-NECK SWEATER,Thing,10/26/10 (#5297),T2
SALEM MASSACHUSETTS,On the Map,10/26/10 (#5297),R1
UNDER THE BOARDWALK DOWN BY THE SEA MONSTER,Before & After,10/26/10 (#5297),R2
I'VE ALWAYS DREAMED OF GOING THERE,Phrase,10/26/10 (#5297),R3*
STARRING ROLE,Show Biz,10/26/10 (#5297),T3
A WITCH RIDING A BROOMSTICK,Fictional Character,10/26/10 (#5297),R4
PURPLE IRISES,Living Things,10/26/10 (#5297),R5
OFFICE EQUIPMENT,Thing,10/26/10 (#5297),BR
BLACK CAT,Living Thing,10/27/10 (#5298),T1
WRESTLING MATCH,Event,10/27/10 (#5298),T2
DOUBLE DOUBLE TOIL AND TROUBLE,Quotation,10/27/10 (#5298),R1
HAUNTED HOUSE DRESSING,Before & After,10/27/10 (#5298),R2
SOFT TACOS FROM A SEASIDE GRILL,Food & Drink,10/27/10 (#5298),R3*
SNEAK PEEK,Rhyme Time,10/27/10 (#5298),T3
IT'S THAT TIME AGAIN,Phrase,10/27/10 (#5298),R4
INTERESTING THEORY,Thing,10/27/10 (#5298),R5
VIEWFINDER,Thing,10/27/10 (#5298),BR
PUMPKIN PATCH,Place,10/28/10 (#5299),T1
SALES MANAGER,Occupation,10/28/10 (#5299),T2
HOME-FIELD ADVANTAGE,Phrase,10/28/10 (#5299),R1
A WELL-DESERVED VACATION,Event,10/28/10 (#5299),R2*
THEY'RE CREEPY AND THEY'RE KOOKY,What's That Song?,10/28/10 (#5299),R3^
LIVE PERFORMANCES,Show Biz,10/28/10 (#5299),T3
RENEWING MY MEMBERSHIP,What Are You Doing?,10/28/10 (#5299),R4
GOOD GRIEF,Phrase,10/28/10 (#5299),BR
A FULL MOON,Event,10/29/10 (#5300),T1
GARDEN TOOLS,Around the House,10/29/10 (#5300),T2
THINGS THAT GO BUMP IN THE NIGHT,Phrase,10/29/10 (#5300),R1
SIPPING A PINA COLADA BY THE POOL,What Are You Doing?,10/29/10 (#5300),R2*
DEEP DARK DREARY DUNGEON,Same Letter,10/29/10 (#5300),R3
GREAT HORNED OWL,Living Thing,10/29/10 (#5300),T3
THE MAN BEHIND THE MASK,Person,10/29/10 (#5300),R4
PRECIOUS METALS,Things,10/29/10 (#5300),R5
JOIN FORCES,Phrase,10/29/10 (#5300),BR
TAKE IT FROM THE TOP,Show Biz,11/1/10 (#5301),T1
TICKET STUB,Thing,11/1/10 (#5301),T2
I'D LIKE TO THANK THE ACADEMY,Quotation,11/1/10 (#5301),R1
STRAPLESS DRESS REHEARSAL,Before & After,11/1/10 (#5301),R2
ENJOYING OCEANSIDE SPA TREATMENTS,What Are You Doing?,11/1/10 (#5301),R3*
BALCONY SEATING,Place,11/1/10 (#5301),T3
BEST-SELLING AUTHOR,Person,11/1/10 (#5301),R4
A LITTLE BIRD TOLD ME,Phrase,11/1/10 (#5301),R5
ONWARD AND UPWARD,Phrase,11/1/10 (#5301),BR
OSCAR NIGHT,Event,11/2/10 (#5302),T1
THEATER USHER,Occupation,11/2/10 (#5302),T2
THERE'S PLENTY MORE WHERE THAT CAME FROM,Phrase,11/2/10 (#5302),R1
RIDING THE BIG WAVES,Fun & Games,11/2/10 (#5302),R2*
CALL WAITING IN THE WINGS,Before & After,11/2/10 (#5302),R3
SECRET IDENTITY,Thing,11/2/10 (#5302),T3
PACIFIC COAST HIGHWAY,On the Map,11/2/10 (#5302),R4
A FIRM GRIP,Event,11/2/10 (#5302),BR
HIGH DEFINITION,Thing,11/3/10 (#5303),T1
RECORDING ARTIST,Person,11/3/10 (#5303),T2
RAISING THE CURTAIN,Show Biz,11/3/10 (#5303),R1
THE POSSIBILITIES ARE ENDLESS,Phrase,11/3/10 (#5303),R2*
COME ON DOWN COMFORTER,Before & After,11/3/10 (#5303),R3
BATMAN & ROBIN,Fictional Characters,11/3/10 (#5303),T3
CHOCOLATE CHIP COOKIES,Same Letter,11/3/10 (#5303),R4
NEWSPAPER COLUMNIST,Occupation,11/3/10 (#5303),R5
FLASH OF GENIUS,Phrase,11/3/10 (#5303),BR
VALLEY GIRL,Title,11/4/10 (#5304),T1
LEATHER HANDBAG,Around the House,11/4/10 (#5304),T2
ONE STEP AHEAD OF THE COMPETITION,Phrase,11/4/10 (#5304),R1
RECEIVING A STAR ON THE WALK OF FAME,Show Biz,11/4/10 (#5304),R2
MARGARITAS MADE FROM SCRATCH,Food & Drink,11/4/10 (#5304),R3*
TAP DANCING LESSONS,Fun & Games,11/4/10 (#5304),T3
AWARD-WINNING DIRECTOR,Person,11/4/10 (#5304),R4
JUGGLERS AND CLOWNS,People,11/4/10 (#5304),BR
GOLDEN GLOBES,Show Biz,11/5/10 (#5305),T1
WINE & CHEESE,Food & Drink,11/5/10 (#5305),T2
THE WICKED WITCH OF THE EAST,Fictional Character,11/5/10 (#5305),R1
WEDDING & RUBBER BAND,Same Name,11/5/10 (#5305),R2
I'VE GOT A GOOD FEELING ABOUT THIS,Phrase,11/5/10 (#5305),R3*
ORIGINAL ALBUM CAST,Thing,11/5/10 (#5305),T3
YOU HAD ME AT HELLO,Quotation,11/5/10 (#5305),R4
VOLUNTEER FIREFIGHTER,Person,11/5/10 (#5305),R5
BABY KOALA,Living Thing,11/5/10 (#5305),BR
HIT THE JACKPOT,Phrase,11/8/10 (#5306),T1
PRIM & PROPER,Same Letter,11/8/10 (#5306),T2
HEALTHY WEALTHY AND WISE,Quotation,11/8/10 (#5306),R1
CHARM SCOOL OF FISH,Before & After,11/8/10 (#5306),R2
TRADITIONAL HAWAIIAN LUAU,Event,11/8/10 (#5306),R3*
DOMINO EFFECT,Thing,11/8/10 (#5306),T3
VICTORIAN MANSION,Place,11/8/10 (#5306),R4
AHEAD OF THE CURVE,Phrase,11/8/10 (#5306),BR
MILLIONS & BILLIONS,Rhyme Time,11/9/10 (#5307),T1
LIFE IN THE FAST LANE,Song Title,11/9/10 (#5307),T2
EIGHTEEN-HOLE GOLF COURSE,Place,11/9/10 (#5307),R1
ACADEMY AWARD WINNER JEFF BRIDGES,Show Biz,11/9/10 (#5307),R2
STEAK FAJITA PLATTER,Food & Drink,11/9/10 (#5307),R3*
SILVER & GOLD,Things,11/9/10 (#5307),T3
A NIGHT TO REMEMBER,Phrase,11/9/10 (#5307),R4
DAYLIGHT,Thing,11/9/10 (#5307),BR
COLD HARD CASH,Thing,11/10/10 (#5308),T1
DADDY WARBUCKS,Fictional Character,11/10/10 (#5308),T2
TOASTED ENGLISH MUFFIN,Food & Drink,11/10/10 (#5308),R1
SOMEWHERE OFF THE BEATEN PATH,Place,11/10/10 (#5308),R2*
DINNER & LICENSE PLATE,Same Name,11/10/10 (#5308),R3
IF I WERE A RICH MAN,Song Title,11/10/10 (#5308),T3
FRIENDS IN HIGH PLACES,People,11/10/10 (#5308),R4
SECOND CHOICE,Thing,11/10/10 (#5308),BR
DOLLAR SIGN,Thing,11/11/10 (#5309),T1
MOVIE STARS,Show Biz,11/11/10 (#5309),T2
I AM A MATERIAL GIRL,Song Lyrics,11/11/10 (#5309),R1
A PERFECT THREE-POINT LANDING,Event,11/11/10 (#5309),R2*
FAME AND FORTUNE COOKIES,Before & After,11/11/10 (#5309),R3
CHAMPAGNE & CAVIAR,Food & Drink,11/11/10 (#5309),T3
MORE BANG FOR YOUR BUCK,Phrase,11/11/10 (#5309),R4
SHOULDER PADS,Things,11/11/10 (#5309),BR
GRAND ENTRANCE,Event,11/12/10 (#5310),T1
PENNIES FROM HEAVEN,Title,11/12/10 (#5310),T2
HOT BUTTERMILK BISCUITS,Food & Drink,11/12/10 (#5310),R1
KISS AND MAKE UP A STORY,Before & After,11/12/10 (#5310),R2
CATCHING A FRISBEE ON THE BEACH,Fun & Games,11/12/10 (#5310),R3*
SWISS BANK ACCOUNT,Thing,11/12/10 (#5310),T3
I'M TRYING TO CONCENTRATE,Phrase,11/12/10 (#5310),R4
TOUCHY SUBJECT,Thing,11/12/10 (#5310),BR
MEDALS & RIBBONS,Things,11/15/10 (#5311),T1
STICK TO THE PLAN,Phrase,11/15/10 (#5311),T2
WALL-MOUNTED FLAT-SCREEN TELEVISION,Around the House,11/15/10 (#5311),R1
PIRATES OF THE CARIBBEAN,Movie Title,11/15/10 (#5311),R2*
REVERSIBLE DRILL SERGEANT,Before & After,11/15/10 (#5311),R3
BRUCE WILLIS,Proper Name,11/15/10 (#5311),T3
FLYING UNDER THE RADAR,What Are You Doing?,11/15/10 (#5311),R4
I WAS MISQUOTED,Phrase,11/15/10 (#5311),BR
COMMANDING OFFICER,Person,11/16/10 (#5312),T1
NORTH CAROLINA,On the Map,11/16/10 (#5312),T2
DIGITAL CAMERA AND PHOTO PRINTER,Around the House,11/16/10 (#5312),R1
COWBOY BOOT CAMP,Before & After,11/16/10 (#5312),R2
SEEING THE SIGHTS OF SOUTH BEACH,What Are You Doing?,11/16/10 (#5312),R3*
TICKER-TAPE PARADE,Event,11/16/10 (#5312),T3
EVERYTHING IS SHIPSHAPE,Phrase,11/16/10 (#5312),R4
SMOOTH MOVE,Thing,11/16/10 (#5312),BR
HIT THE DECK,Phrase,11/17/10 (#5313),T1
PUSH-UPS & PULL-UPS,Things,11/17/10 (#5313),T2
COUNTERTOP MICROWAVE,In the Kitchen,11/17/10 (#5313),R1
WEST POINT & CLICK,Before & After,11/17/10 (#5313),R2
CHICKEN ENCHILADA WITH CHILI SAUCE,Food & Drink,11/17/10 (#5313),R3*
RIGHT-HAND MAN,Person,11/17/10 (#5313),T3
TO THE SHORES OF TRIPOLI,Song Lyrics,11/17/10 (#5313),R4
MAIN LOBBY,Place,11/17/10 (#5313),BR
GUNG HO!,Phrase,11/18/10 (#5314),T1
NEW YORK JETS,Proper Name,11/18/10 (#5314),T2
STACKABLE WASHER AND DRYER UNIT,Around the House,11/18/10 (#5314),R1
SHADY SPOT UNDER A PALM TREE,Place,11/18/10 (#5314),R2*
AIRCRAFT CARRIER PIGEON,Before & After,11/18/10 (#5314),R3
THE PACIFIC,TV Title,11/18/10 (#5314),T3
BARBELLS & DUMBELLS,Things,11/18/10 (#5314),R4
OPEN-DOOR POLICY,Thing,11/18/10 (#5314),BR
READY AND RARING TO GO,Phrase,11/19/10 (#5315),T1
TAKING NOTES,What Are You Doing?,11/19/10 (#5315),T2
RECENTLY REMODELED KITCHEN,Place,11/19/10 (#5315),R1
THE DA VINCI & MORSE CODE,Same Name,11/19/10 (#5315),R2
HITTING THE SLOPES,Fun & Games,11/19/10 (#5315),R3*
NORFOLK VIRGINIA,On the Map,11/19/10 (#5315),T3
BAKED BANANA BREAD,Same Letter,11/19/10 (#5315),R4
BRIEF CHAT,Thing,11/19/10 (#5315),BR
PITCHING A TENT,What Are You Doing?,11/22/10 (#5316),T1
RED SQUIRREL,Living Thing,11/22/10 (#5316),T2
RAFTING THROUGH THE GRAND CANYON,Fun & Games,11/22/10 (#5316),R1
SNOW-CAPPED CANADIAN ROCKIES,Place,11/22/10 (#5316),R2*
SLEEPING BAG OF POTATO CHIPS,Before & After,11/22/10 (#5316),R3
BOISE IDAHO,On the Map,11/22/10 (#5316),T3
THE TRILL OF VICTORY,Phrase,11/22/10 (#5316),R4
GHOST TOWN,Place,11/22/10 (#5316),BR
MOUNTAIN CLIMBER,Person,11/23/10 (#5317),T1
WILDERNESS AREA,Place,11/23/10 (#5317),T2
LANTERN STOVE AND COOLER,Thing,11/23/10 (#5317),R1
JURASSIC PARK RANGER,Before & After,11/23/10 (#5317),R2
SPENDING THE ENTIRE DAY AT THE SPA,What Are You Doing?,11/23/10 (#5317),R3*
BATTLE CREEK MICHIGAN,On the Map,11/23/10 (#5317),T3
ROASTING MARSHMALLOWS,Fun & Games,11/23/10 (#5317),R4
IT'S BAFFLING,Phrase,11/23/10 (#5317),BR
SCENIC OVERLOOK,Place,11/24/10 (#5318),T1
CLEVELAND BROWNS,Proper Name,11/24/10 (#5318),T2
HIKING THE APPALACHIAN TRAIL,Fun & Games,11/24/10 (#5318),R1
A VISIT FROM LADY LUCK,Event,11/24/10 (#5318),R2*
GRANOLA & CHIN-UP BAR,Same Name,11/24/10 (#5318),R3
FLOCK OF BIRDS,Living Things,11/24/10 (#5318),T3
RUNNING NECK AND NECK,Phrase,11/24/10 (#5318),R4
POWER SOURCE,Thing,11/24/10 (#5318),BR
MONUMENT VALLEY,Landmark,11/25/10 (#5319),T1
FROGS & TOADS,Living Things,11/25/10 (#5319),T2
GATHERING WOOD FOR THE FIRE,What Are You Doing?,11/25/10 (#5319),R1
SCUBA DIVERS AND SNORKELERS,People,11/25/10 (#5319),R2*
A SECOND HELPING OF TURKEY AND STUFFING,Food & Drink,11/25/10 (#5319),R3
NEW HAMPSHIRE,On the Map,11/25/10 (#5319),T3
CABIN IN THE COUNTRY,Place,11/25/10 (#5319),R4
TEXTBOOK,Thing,11/25/10 (#5319),BR
ROCK FORMATIONS,Things,11/26/10 (#5320),T1
WHITE-TAILED DEER,Living Thing,11/26/10 (#5320),T2
BACKPACKING THROUGH THE FOREST,Fun & Games,11/26/10 (#5320),R1
BOARD GAME WARDEN,Before & After,11/26/10 (#5320),R2
BUYING A NEW SET OF CARRY-ON LUGGAGE,What Are You Doing?,11/26/10 (#5320),R3*
CRANBERRY SAUCE,Food & Drink,11/26/10 (#5320),T3
PLAID FLANNEL SHIRT,Around the House,11/26/10 (#5320),R4
BLACK TIGHTS,Things,11/26/10 (#5320),BR
VENICE ITALY,On the Map,11/29/10 (#5321),T1
TIGER CUBS,Living Things,11/29/10 (#5321),T2
TRYING TO KEEP A STRAIGHT FACE,What Are You Doing?,11/29/10 (#5321),R1
LIKE A BRIDGE OVER TROUBLED WATER BALLOONS,Before & After,11/29/10 (#5321),R2
DESTINATION RELAXATION,Rhyme Time,11/29/10 (#5321),R3*
SKILLED CRAFTSMAN,Person,11/29/10 (#5321),T3
END OF DISCUSSION,Phrase,11/29/10 (#5321),R4
CHEMICAL FORMULA,Thing,11/29/10 (#5321),BR
NORWAY AND SWEDEN,On the Map,11/30/10 (#5322),T1
EXTENDED FAMILY,People,11/30/10 (#5322),T2
IT'S THE ONLY GAME IN TOWN,Phrase,11/30/10 (#5322),R1
SLICE OF COCONUT CREAM PIE,Food & Drink,11/30/10 (#5322),R2*
NICOLAS & BATTING CAGE,Same Name,11/30/10 (#5322),R3
CROSSWORD CLUES,Things,11/30/10 (#5322),T3
INSTRUCTION MANUAL,Around the House,11/30/10 (#5322),R4
FORMER BOYFRIEND,Person,11/30/10 (#5322),BR
ATHENS GREECE,On the Map,12/1/10 (#5323),T1
LIVING LEGEND,Person,12/1/10 (#5323),T2
A SIGHT FOR SORE EYES,Phrase,12/1/10 (#5323),R1
WALKING BAREFOOT ALONG THE SHORE,What Are You Doing?,12/1/10 (#5323),R2*
TRAPEZE & GRAPHIC ARTIST,Same Name,12/1/10 (#5323),R3
SCIENCE EXPERIMENT,Event,12/1/10 (#5323),T3
DOCUMENTARY FILMMAKER,Show Biz,12/1/10 (#5323),R4
NO QUESTION ABOUT IT,Phrase,12/1/10 (#5323),BR
SYDNEY AUSTRALIA,On the Map,12/2/10 (#5324),T1
SPIN TO WIN,Rhyme Time,12/2/10 (#5324),T2
ANGELINA JOLIE AS SALT,Star & Role,12/2/10 (#5324),R1
I'M BRUSHING UP ON MY FRENCH ONION SOUP,Before & After,12/2/10 (#5324),R2
ZIPPING DOWN THE WATER SLIDE,What Are You Doing?,12/2/10 (#5324),R3*
THROW RUG,Around the House,12/2/10 (#5324),T3
THE LATEST TECHNOLOGY,Thing,12/2/10 (#5324),R4
VIVID DREAM,Thing,12/2/10 (#5324),BR
VIENNA AUSTRIA,On the Map,12/3/10 (#5325),T1
WORKOUT CLOTHES,Around the House,12/3/10 (#5325),T2
